"","Conversacion","Cortes_Descortes","Llama_Atencion","Mediodeexpresion","F0_Inicial","F0_Final","F0_Media","F0_Maxima","F0_Minima","Intensidad_Maxima","Intensidad_Minima","Intensidad_Primera","Intensidad_Ultima","Intensidad_Media","Silabas","Duracion","Duracion_Pausa_Anterior","Duracion_Pausa_Posterior","Continuacion_Pausa","Curva_Melodica","Otro_Curva_Melodica","Inflexion_Local_Interna","Tonema","Unidad_Del_Discurso","Valormodal","Otro_Valor_Modal","Fenomeno_Tonal","Fenomeno_Duracion","Fenomeno_Pausas","Fenomeno_Velocidad","Fenomeno_Amplitud","Unidad_Fonica","Estrategia_Pragmatica","Efecto_Pragmatico_Asociado","Elemento_Analizado","Fragmento","cantidad","cantidad_Medio"
"135","VALESCO 140A","cortés","entonación","Atenuación",390,91,199,443,91.5,79,78,85,74,88,11,1.6,0.6,0,"continúa otro hablante","circunfleja","desconocido","ninguna","circunflejo","acto;Intervención iniciativa;turno","pregunta","desconocido","entonación circunfleja","ninguno","ninguno","ninguno","campo tonal alto","grupo entonativo","Ofrecer información","desconocido","A: ¿tienes que volver a hablar con tu jefe?","A: Mario↑ y entonces tú ahora↑ ¿tienes que volver a hablar con tu jefe?",156,62
"136","VALESCO 025A","cortés","entonación","Atenuación",NA,NA,144,152,136,59,45,NA,NA,52,9,1.58,0,0,"desconocido","suspensión","desconocido","ninguna","descendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","es que son bromitas pesadas","C: [¡oh que] si
volvieron a llamar! a las tres horas que el hombre se había
[quedao otra vez un poco embelesao→]
A: [que ((te– tenían)) el teléfono] mal o equivocao§
C: § ni– mira↓
ya cogió el teléfono y dice ni está Jesús ni su PUTA MADRE y
yo→ Vicente ¡por Dios! dice NI VICENTE NI SANTO VICENTE PERO
¿¡ESTOS QUÉ S’HAN CREÍDO ESTA NOCHE!? [y=]
D: [sí sí]
C: = ya se fue a trabajar sin– sin– sin dormir
D: es que son bromitas pesadas§
A: § no↓ eso es que se equivocaron
(( )) [(( ))]
B: [y mi madre– a mí una] de mis amigas (( )) sus hermanas↑
le llamaron dice es de la policía y dice un momentito↑ [(( )) y digo
¡ay madre mía!=]",156,62
"137","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,293,437,210,65,45,NA,NA,57,9,1.56,0,0,"desconocido","suspensión","desconocido","ninguna","suspendido","acto","exhortación","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","leche venir desde un principio","A: § [no llevaban los papeles]
C: [y claro tenían los amotos]
ahí↑ y como van buscando si están robás↑§
D: § sí sí sí sí
C: ¡LECHE! venir desde un principio↓ está la policía↑ porque se
creen que su hijo noo no↓ pero no que venga primero la una
a la media hora los otros yo digo esto es que uno de los dos se me
han matao y a mí no me lo quieren DECIR§
A: § todo esoo daa sustos
¿eh? a mí también [vino un telegrama=]
C: [¡hombre hombre!]",156,159
"138","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,228,404,189,68,45,NA,NA,55,9,1.53,0,0,"desconocido","declinación","desconocido","ninguna","descendente","acto","exhortación","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","ay que si volvieron a llamar","C: § mi marido pegó un bote de la cama ¡no veas! se le cayó
hasta el teléfono… ¿está Jesús? dice mi marido→ mire↓ se ha
equivocao… se acuesta§
A: §¿y volvieron a llamar otra [vez?]
C: [¡oh que] si
volvieron a llamar! a las tres horas que el hombre se había
[quedao otra vez un poco embelesao→]
A: [que ((te– tenían)) el teléfono] mal o equivocao§",156,159
"139","VALESCO 140A","descortés","acento;entonación","Intensificación",181,188,180.6,197,164,85,85,87,74,90,6,1.5,0.6,2.6,"continúa otro hablante","inclinación","desconocido","ninguna","ascendente","acto;Intervención reactiva","exclamación","desconocido","ninguno","ninguno","pausas largas","ninguno","campo tonal alto","cláusula entonativa","desacuerdo","desconocido","D: ¡LA TELE↑ QU’ES NUEVA!","A: §¡qué graciosa↓! aun queda algo ¿no?
C: sí↓ una mierda↓ ¿qué queda? nada (2’’)
A: º(hombre)º
D: ¡LA TELE↑ QU’ES NUEVA!",51,159
"140","VALESCO 183A","cortés","entonación","Intensificación",245.6,204.5,212.3,266.1,129.8,81,59,77,73,74,5,1.5,1,0,"el otro hablante toma inmediatamente la palabra","suspensión","desconocido","ascendente_descendente","suspendido","acto","aserción","desconocido","entonación circunfleja","alargamiento","sin pausas","ninguno","ninguno","grupo entonativo","broma afiliadora","desconocido","A: sí de viaje aa","C:[y se fueron] a ver// el ambiente de navidad  y ((   )) y no puede hacer nada ((   )) ahora↑ cuando ganemos dinero nos iremos de viaje
A: sí de viaje aa§
B:§ al Caribe/ eso es lo que me da§
A:§ al Caribe al Caribe",156,159
"141","VALESCO 69A","cortés","entonación","Atenuación",217.7,172,166.7,219,113.5,81,60,74,76,73,11,1.5,0,0,"continúa el mismo hablante","declinación","desconocido","ascendente_descendente","suspendido","acto;Intervención reactivo-iniciativa","aserción","desconocido","entonación suspendida","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","reproche;desacuerdo","desconocido","J: no/ se m’ahogó porque es un coche nuevo→ [...]","C: bueno↓ pues claro/ el chiquito no tenía costumbre→ no te– no tenía estárter y no sé qué le pasó y se l’ahogó… y yo salí disparada d’ahí↑/ la dee/ Vicenta/ y Amable son los de la Cooperativa↑§
P:§sí§
J:§ no/ se m’ahogó porque es un coche nuevo→ aún no ha tenido ((rodaje))",156,62
"142","VALESCO 140A","descortés","acento;entonación","Intensificación",203,305,257,356,199,80,82,86,72,89,7,1.5,0.2,0.4,"continúa otro hablante","circunfleja","desconocido","ascendente","circunflejo","acto;Intervención reactiva;turno","exclamación","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","campo tonal alto","grupo entonativo","rechazo;Ofrecer información","desconocido","C: ¡QUE VA- VA DE ALUMNA!","C:§¿¡pero MAmi!?
A: ¿¡QUÉE!?§
C:§¡QUE VA- VA DE ALUMNA!",51,159
"143","VALESCO 69A","cortés","entonación","Intensificación",225.7,154.7,173.6,281.3,86.9,80,55,65,65,69,10,1.5,0.7,3,"continúa el mismo hablante","circunfleja","desconocido","ascendente_descendente","suspendido","acto","aserción","desconocido","entonación circunfleja","ninguno","sin pausas","ninguno","ninguno","grupo entonativo","""cumplidos; elogios y piropos""","desconocido","C: y esa soy yo de pequeñina→","C: se actuaba/ yo actué– actuaba una semana↑/ las dos sesiones↑/ y una chiquita del coro que también cantaba lo mismo que yo↑/ o se lo aprendió igual/ cant– actuaba la otra semana§
P:§ a la otra semana
C: y esa soy yo de pequeñina→",156,159
"144","VALESCO 171A","cortés","entonación","Intensificación",227.8,217.6,247.4,313.9,110.8,79,54,74,64,74,10,1.5,0,0.4,"continúa otro hablante","suspensión","desconocido","descendente","suspendido","acto","aserción","desconocido","entonación suspendida","ninguno","sin pausas","ninguno","ninguno","grupo entonativo","reproche;broma afiliadora","desconocido","A: esta quería que acabaran mal→","A: esta quería que acabaran mal→
C: no hombre no pero§
B: § no queda bien tío que acabaran bien [((   ))]",156,159
"145","VALESCO 183A","cortés","entonación","Intensificación",267.5,210.9,241.8,360.4,207.1,79,59,76,71,74,8,1.5,1.7,0.5,"continúa otro hablante","declinación","desconocido","ascendente_descendente","suspendido","acto","aserción","desconocido","ninguno","ninguno","sin pausas","ninguno","campo tonal alto","grupo entonativo","broma afiliadora","desconocido","C: para acabarla de apañar","C: ¿tú estabas en familia?
A: no yo estaba en un colegio de monjas
C: para acabarla de apañar",156,159
"146","VALESCO 183A","descortés","entonación","Intensificación",232.8,202.2,213,247.2,196.7,78,56,76,64,68,10,1.5,0,0.8,"el otro hablante toma inmediatamente la palabra","suspensión","desconocido","descendente","circunflejo","acto;Intervención reactivo-iniciativa","desconocido","desconocido","entonación circunfleja","desconocido","sin pausas","desconocido","ninguno","grupo entonativo","desacuerdo;opinión","desconocido","A: ¿sí? pues a mí me han dicho que fatal","C: no sé donde es más asquerosa si en Estados Unidos o en Francia/ ves↑ en Inglaterra y en Irlanda sí que comí bien
A: ¿sí?  pues a mí me han dicho que fatal",156,159
"147","VALESCO 183A","cortés","entonación","Intensificación;Ironía",262.2,237.3,240.9,300.9,220.7,78,63,77,70,72,8,1.5,0.7,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","ninguna","suspendido","acto;Intervención reactiva","aserción","desconocido","entonación suspendida","alargamiento","pausas cortas","desconocido","ninguno","grupo entonativo","broma afiliadora","desconocido","B: ¡jolín! chicaa/ todo un lujo→","C: pues estábamos en el camp- en la facultad de ciencias estábamos↓///  estaba por allí química/ matemáticas// danza↑/ bellas artes→
B: ¡jolin! chicaa/ todo un lujo→",156,5
"148","VALESCO 183A","cortés","entonación","Intensificación",220.9,315.1,240.3,327.7,206,76,71,72,65,69,10,1.5,1,0,"el otro hablante toma inmediatamente la palabra","suspensión","desconocido","descendente_ascendente","ascendente","subacto;Intervención reactiva","exclamación","desconocido","ascenso brusco de la curva melódica","alargamiento","pausas cortas","velocidad de habla lenta","ninguno","grupo entonativo","manifestación de empatía;acuerdo;opinión","desconocido","B: (...) ¡qué miedo!/ tiene que dar un miedoo↑","A: o quedarte quieta
B: o eso no saber lo que hay que hacer↑ vamos↓/// si es flojito↑ vale↓ pero si es fuerte↑ ¡qué miedo!/ tiene que dar un miedoo↑§
A:§ dicen que se abran las ((puertas))",156,159
"149","VALESCO 171A","descortés","acento;entonación","Intensificación",204.8,206.5,190,268.7,80.2,75,40,59,60,66,11,1.5,0.3,0,"continúa otro hablante","declinación","desconocido","descendente","suspendido","acto","pregunta","desconocido","entonación suspendida","ninguno","sin pausas","ninguno","campo tonal alto","grupo entonativo","reproche","desconocido","A: tía lo del tabú ¿no sabes lo que es→?","A: tía lo del tabú ¿no sabes lo que es→?
B: eso de- eso de- de§
A:§ no tienes que saber la palabra↑­ y te dan unas cosas que no puedes nombrar§
C: § ¡aah!",51,159
"150","VALESCO 183A","descortés","entonación","desconocido",231.7,202.2,222.8,263.7,196.5,74,68,80,76,78,9,1.5,0,0,"continúa el mismo hablante","circunfleja","desconocido","descendente","suspendido","desconocido","desconocido","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","desconocido","desconocido","A: no/ no causa vicio ni nada→ (...)","C: a ver si luego no me puedo levantar§
A:§ no/ no causa vicio ni nada→/ es- son hierbas→/ es natural",156,27
"151","VALESCO 69A","cortés","entonación","Intensificación",169.5,176.7,184.6,209.6,80.2,74,57,70,74,70,10,1.5,0,0,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","descendente_ascendente","suspendido","acto;Intervención reactiva","aserción","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","manifestación de empatía;acuerdo","desconocido","C: claro/ porque no tiene reservas→","P: y no devolvió… el chiquito no devolvió nada↑/ y al otro día [por la mañana]
C:[claro/ porque] no tiene reservas→§
P:§ claro",156,159
"152","VALESCO 171A","descortés","entonación","Intensificación",228.4,199.7,227.7,315.5,86,69,53,63,67,63,14,1.5,0,0.3,"continúa otro hablante","circunfleja","desconocido","descendente_ascendente","ascendente","acto","aserción","desconocido","entonación circunfleja","ninguno","sin pausas","ninguno","ninguno","grupo entonativo","reproche","desconocido","A: tía tú hablas mucho de tu profesor de inglés­↑","A: tía tú hablas mucho de tu profesor de inglés­↑
B: tía no peroo yo me llamo Leticia­ él se llama Letic peroo ¿allí Leticia existe?
",156,159
"153","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,282,414,182,59,45,NA,NA,52,14,1.49,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","pero estos que se han creído esta noche","C: [¡oh que] si
volvieron a llamar! a las tres horas que el hombre se había
[quedao otra vez un poco embelesao→]
A: [que ((te– tenían)) el teléfono] mal o equivocao§
C: § ni– mira↓
ya cogió el teléfono y dice ni está Jesús ni su PUTA MADRE y
yo→ Vicente ¡por Dios! dice NI VICENTE NI SANTO VICENTE PERO
¿¡ESTOS QUÉ S’HAN CREÍDO ESTA NOCHE!? [y=]
D: [sí sí]
C: = ya se fue a trabajar sin– sin– sin dormir
D: es que son bromitas pesadas§
A: § no↓ eso es que se equivocaron
(( )) [(( ))]
B: [y mi madre–Δ a mí una] de mis amigas (( )) sus hermanas↑
le llamaron dice es de la policía y dice un momentito↑ [(( )) y digo
¡ay madre mía!=]",156,159
"154","VALESCO 025A","cortés","entonación","desconocido",NA,NA,158,173,137,58,46,NA,NA,53,10,1.49,0,0,"desconocido","suspensión","desconocido","ninguna","suspendido","subacto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","por eso muchos de los que llaman","A: § ni aunque lo piquen
C: nada nada§
A: § y– y sin embargo pues oye↓ oiga usté↓ pues usté↑ no
noo sabía nada mee avisó mi tía que me había salido
D: por eso muchos de los que llaman porque les llaman por
teléfono→
C: sí§
D: § resulta quee se quedan así un pocoo§
A: § sí↓ claro to’l mundo",156,27
"155","VALESCO 140A","cortés","entonación","Intensificación",218,310,262,313.7,114,89,78,84,82,86,11,1.46,1,0,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","acto;Intervención iniciativo-reactiva","aserción","desconocido","entonación suspendida","ninguno","ninguno","ninguno","desconocido","grupo entonativo","opinión","desconocido","C:((ha dicho))] que tienen más buena pinta↑","C: ((porque)) m’acabo de comer un bocata
A: ¡AAY!
B: (( )) yo no puedo ir↓/ [ya→]
C: [((ha dicho))] que tienen más buena [pinta↑]
B: [ya-] si ya vendrá Jose el viernes→/// (2’5”) ((pep)) /// y se las zampará /",156,159
"156","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,242,278,212,63,49,NA,NA,56,8,1.43,0,0,"desconocido","declinación","desconocido","ninguna","ascendente","subacto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","más claro que el agua que la suerte",NA,156,159
"157","VALESCO 025A","cortés","entonación","Intensificación",0,0,142,143,142,56,45,NA,NA,50,6,1.41,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","pues así cualquiera","A: [se enconTRAron] con que les había salido el gordo y el cuponazo4§ 
C: § ¡toma [candela!] 
D: [pues así?] cualquiera 
A: [sí] 
C: [claro] 
A: yo– yo lo que digo? siempre sale así§",156,159
"158","VALESCO 129B","descortés","acento;entonación","Intensificación;Fórmulas indirectas",130,138.6,191.5,226.7,130,89,76,81,82,84,11,1.4,0,0,"continúa el mismo hablante","declinación","desconocido","ascendente_descendente","circunflejo","acto;Intervención iniciativo-reactiva","pregunta","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","recriminación;desacuerdo;rechazo","desconocido","B:¿te parece poco lo que hemos hecho?","B: yy eso es lo que a mí me preocupa↓ que mis faenah estén bé/ ºya estáº
A: pero ¿y el[((…))]
C:[((…))]
B:¿[ te]parece poco lo que hemos hecho? entre Alejo y yo hemos hecho el programa↓ que ya verás lo que es",51,5
"159","VALESCO 162A","descortés","entonación","Intensificación",133,138,153,181,127,89,76,85,84,85,18,1.4,0,0.6,"continúa otro hablante","declinación","desconocido","ninguna","descendente","Intervención reactiva","desconocido","desconocido","ninguno","ninguno","ninguno","velocidad de habla rápida","ninguno","cláusula entonativa","opinión;Ofrecer información","desconocido","A: ¡jo(d)er! la abuela de Rafa/ en casa de la abuela de Rafa","A: ¡jo(d)er! la abuela de Rafa/ en casa de la abuela de Rafa/
L: que no te había escuchao­",156,159
"160","VALESCO 114A","descortés","acento;entonación","Intensificación;Ironía",240,295,236,310,204,88,69,78,71,85,5,1.4,1.14,1.18,"el otro hablante toma inmediatamente la palabra","suspensión","desconocido","desconocido","suspendido","Intervención reactivo-iniciativa","exclamación","desconocido","ascenso brusco de la curva melódica","alargamiento","pausas largas","ninguno","campo tonal alto","cláusula entonativa","recriminación;desacuerdo","desconocido","A: ¡ah! NO HACEN NADA","C: pero creo que dos o tres tragos de güisqui no cre– no [creo]
A:[¡ah! NO] HACEN NADA",51,5
"161","VALESCO 162A","cortés","duración;velocidad de habla","Atenuación",247.2,284.6,228.2,286,139,88,74,86,77,84,6,1.4,0,1,"continúa el mismo hablante","suspensión","desconocido","ninguna","suspendido","acto","pregunta","Rechazo","entonación suspendida","alargamiento","pausas largas","velocidad de habla lenta","ninguno","grupo entonativo","rechazo;opinión","Ninguno","L: ¿a montar el barco?//","L: ¿on anem? (3²) ¿eh?
A: no sé ¿dónde quieres ir?
L: on vuigues
A: a mi casa a montar el barco
L: ¿a montar el barco?// ¿cómo te ha ido en Horus?",4,62
"162","VALESCO 130A","descortés","acento;entonación","Intensificación;Fórmulas indirectas",243.6,387,238.4,389.6,108.1,86,75,83,77,82,10,1.4,0,0.5,"continúa otro hablante","inclinación","desconocido","descendente_ascendente","ascendente","acto;Intervención iniciativo-reactiva","pregunta","desconocido","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","campo tonal alto","grupo entonativo","reproche","desconocido","L: (...) ¿que no me duelen los riñones↑?","M: coger la-a recoger la cocina↑­ // y cuando llegan las tres y media ya no tengo ganas dee nada↓ // tengo ganas de-de // estarme sentada un rato yy estirar las piernas // porque yo  también estoy mala↓
L: y yo↓ ¿qué te crees que yo no estoy mala? ¿que no me duelen los riñones↑?",51,5
"163","VALESCO 130A","cortés","acento;duración;entonación","Atenuación",116.7,273.3,217.1,279.7,114,82,72,74,77,83,7,1.4,0,0.8,"continúa el mismo hablante","inclinación","desconocido","descendente_ascendente","ascendente","subacto","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","sin pausas","velocidad de habla lenta","ninguno","cláusula entonativa","reproche","desconocido","M: [has i-] has ido a ca tu amiga↑ (...)","M: [has i-] has ido a ca tu amiga↑ // habértelo llevao y ella te hubiese explica[doo=]
L:[mm]      
M: =las cosas
L: está pa que le explique yo a ella↑",11,62
"164","VALESCO 69A","descortés","entonación","Intensificación",261,145.5,186,264.4,142.3,76,60,69,60,69,8,1.4,0,0,"el otro hablante toma inmediatamente la palabra","declinación","desconocido","ascendente_descendente","suspendido","acto","aserción","desconocido","entonación suspendida","ninguno","pocas pausas","ninguno","ninguno","grupo entonativo","reproche","desconocido","C: chica/ y no me has dicho nada→","P: = y el otro día por la mañana yo ya→/ vino Jesús/ porque se quería quedar esta chica↑ digo/ no↓ yo me quedaré/ me quedé yo con ella↑¬ y por la mañana vino Jesús prontito↑§
C: § chica/ y no me has dicho nada→§
P:§ pero ¿pa qu–?/ Carmencín (( )) si nadie ha ido a verlo",156,159
"165","VALESCO 162A","descortés","acento","desconocido",184,136,166,187,134.8,89,79,85,79,85,6,1.38,0.5,0.5,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","Intervención iniciativo-reactiva","desconocido","desconocido","ninguno","alargamiento","ninguno","ninguno","ninguno","grupo entonativo","insulto","desconocido","A: es que estás CANELA","A: es que estás CANELA
L: GRACIAAS",23,27
"166","VALESCO 162A","descortés","acento;entonación","Intensificación;Sarcasmo",203,133,171,228,92,89,74,88,84,87,5,1.33,0,0,"continúa otro hablante","declinación","desconocido","ninguna","descendente","Intervención reactiva","desconocido","desconocido","ninguno","alargamiento","sin pausas","ninguno","campo tonal alto","grupo entonativo","desconocido","desconocido","A:[EEERES NOVA]TA","A: ¿era novata? °(tú también aún eres)° te queda poco pero aún eres&
L:& ME QUEDAN DOS DÍAS [¡déjame!]
A:[EEERES NOVA]TA",51,1
"167","VALESCO 140A","descortés","acento","Intensificación",166,248,204,248,166,83,89,86,74,89,8,1.32,0,0.2,"continúa otro hablante","inclinación","desconocido","ninguna","ascendente","acto;Intervención iniciativo-reactiva;turno","pregunta","desconocido","ninguno","ninguno","sin pausas","velocidad de habla lenta","ninguno","grupo entonativo","desacuerdo","desconocido","A: ¿ni ha CObrao nunca nada?","A: ¿ni ha CObrao nunca nada?§
C:§síi hombre",23,159
"168","VALESCO 114A","descortés","acento;entonación","Intensificación",203,228,205,348,101,89,78,82,80,86,6,1.3,0.3,0.8,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","circunflejo","Intervención reactivo-iniciativa;turno","exclamación","desconocido","ascenso brusco de la curva melódica","ninguno","ninguno","ninguno","campo tonal alto","grupo entonativo","recriminación;desacuerdo","desconocido","A: ¡che Tere! ¡esta es la misma!
","A: ¡che Tere! ¡esta es la misma!
C: la misma/ pero es que te ha mandao unos sobres y una– y una pomada§
A: § esta es la misma que tengo
",51,159
"169","VALESCO 130A","descortés","acento","Intensificación",229.7,115.2,225,264.5,111.8,88,73,75,77,82,9,1.3,0,1.2,"continúa otro hablante","declinación","desconocido","descendente","ascendente","subacto","pregunta","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","recriminación;desacuerdo","desconocido","L: (...) ¿en qué quieres que me lo gaste↓?","M: lo que pasa es que tú [todo lo quieres] =
L:[tienes el doble]
M: = en calzao↑­ y pantalones
L: como tiene que ser↓ ¿en qué quieres que me lo gaste↓?
",23,159
"170","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,270,304,194,66,46,NA,NA,61,5,1.29,0,0,"desconocido","suspensión","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","no venir así","A: [por una tonte– por una tontería]
C: = ¡LECHUga! decir la verdad no venir ¿eh? así§
D: § claro
C: no se lo doy a pasar→
A: pero no pasó nada§
C: § no§
A: § era quee– era la verdad§
C: § la– la– laa verdaad↓
que no llevaban los papeles§
A: § [no llevaban los papeles]
C: [y claro tenían los amotos]",156,159
"171","VALESCO 025A","cortés","entonación","Atenuación",NA,NA,142,145,136,58,46,NA,NA,53,8,1.29,0,0,"desconocido","suspensión","desconocido","ninguna","suspendido","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","se quedan así un pocoo","A: § y– y sin embargo pues oye↓ oiga usté↓ pues usté↑ no
noo sabía nada mee avisó mi tíaΔ que me había salido
D: por eso muchos de los que llamanΔ porque les llaman por
teléfono→
C: sí§
D: § resulta quee se quedan así un pocoo§
A: § sí↓ claro to’l mundo
[se queda=]
C: [extrañao]
A: = ¿tú sabes→? ¿tú sabes lo difícil que es→?§
C: § ¿eso?",156,62
"172","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,265,373,236,61,46,NA,NA,54,4,1.27,0,0,"desconocido","declinación","desconocido","ninguna","descendente","acto","exhortación","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","sin vergüenza","A: [ese señor era algún] amigueteΔ o
alguien [que o– o a lo mejor alguien]
C: [o no↓ o alguien] que noo– que tendría [una QUERELLA=]
A: [que te voy a
fastidiar]
C: = con esta señora→ y diría [pues ahora la voy a fastidiar de–=]
A: [te voy a fastidiar ante el teléfono]
C: = de– y llamaría→ ¡SINVERGÜENZA! ¡MALEDUCAOS! que llevo
dende esta mañana a las siete de la mañana llamándome para lo
mismo [¡CANALLA!=]
A: [sí sí]
C: = mira↓ [a mí me dejó→]
D: [¡ah! ya ya] o sea quee§
C: § que se ve que era [alguna puncha
¿sabes?]",156,159
"173","VALESCO 114A","descortés","acento;entonación;velocidad de habla","Intensificación",96,135,270,396,93.5,89,80,87,89,87,7,1.26,0.2,0.13,"continúa otro hablante","circunfleja","desconocido","ninguna","circunflejo","Intervención reactivo-iniciativa;turno","pregunta","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","campo tonal alto","grupo entonativo","recriminación;desacuerdo;Petición información","desconocido","¿DE QUÉ TE ENTRAN LAS PIEDRAS?
","A: ¿DE QUÉ TE ENTRAN LAS PIEDRAS?§
B:§ ¡papa! DE LA ARENA↓ yo estoy haciendo MATERIAAL↓ MIRA↑ por ahí me entran muchas PIEDRAS↑§
A: § ¿y QUÉ te metes con los pies dentro l’arena?
",9,159
"174","VALESCO 37B","cortés","entonación","Atenuación",284.9,273.7,299,333.3,266.6,90,85,87,87,89,9,1.25,0,1.51,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","acto","pregunta","desconocido","entonación suspendida","ninguno","pausas largas","ninguno","ninguno","grupo entonativo","petición","Ninguno","¿QUE cuándo iréis al pueblo por fin?","B: ¿QUE cuándo iréis al pueblo por fin?
A: ¿al puebloo? ((a ver)) mañana ↓ sábado",156,62
"175","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,291,338,249,65,47,NA,NA,59,7,1.24,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","no se lo voy a pasar","A: [por una tonte– por una tontería]
C: = ¡LECHUga! decir la verdad no venir ¿eh? así§
D: § claro
C: no se lo doy a pasar→
A: pero no pasó nada§
C: § no§
A: § era quee– era la verdad§
C: § la– la– laa verdaad↓
que no llevaban los papeles§
A: § [no llevaban los papeles]
C: [y claro tenían los amotos]",156,159
"176","VALESCO 025A","descortés","entonación","desconocido",NA,NA,160,206,135,66,46,NA,NA,58,6,1.22,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","era quee la verdad","A: [por una tonte– por una tontería]
C: = ¡LECHUga! decir la verdad no venir ¿eh? así§
D: § claro
C: no se lo doy a pasar→
A: pero no pasó nada§
C: § no§
A: § era quee– era la verdad§
C: § la– la– laa verdaad↓
que no llevaban los papeles§
A: § [no llevaban los papeles]
C: [y claro tenían los amotos]",156,27
"177","VALESCO 37B","cortés","entonación","Intensificación",252,289,257,385.2,136,90,82,88,87,88,6,1.21,0,0.3,"continúa el mismo hablante","circunfleja","desconocido","ninguna","descendente","acto","aserción","Afirmación enfática","entonación circunfleja","ninguno","ninguno","ninguno","campo tonal alto","grupo entonativo","opinión","Ninguno","A: no sa[bemos=]
B: [síi]
A: = menTIR/","A: yo digo/ ya verás ↓ este meterá la pata// porque es que lo que pasa ↓ no sa[bemos=]
B: [síi]
A: = menTIR/",156,159
"178","VALESCO 165A","cortés","entonación","Intensificación",181.7,284.6,194.5,286.5,151.2,88,70,75,88,84,6,1.2,0,0.2,"continúa otro hablante","inclinación","desconocido","descendente_ascendente","ascendente","acto;Intervención reactiva;turno","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","sin pausas","ninguno","ninguno","grupo entonativo","agradecimiento;acuerdo","desconocido","B: ¡vale! cuando quieras↑","A: vale vale// pues yaa la traeré mañana y yaa si acaso pues yo le llevo ya esa ya directamente [(no hace falta)]
B: [¡vale!] cuando quieras­↑",156,159
"179","VALESCO 140A","descortés","acento;entonación","Intensificación",233,189,325,476,179,86,77,88,76,90,8,1.2,1,0.4,"continúa otro hablante","circunfleja","desconocido","ninguna","descendente","acto;Intervención iniciativo-reactiva;turno","exhortación","desconocido","ascenso brusco de la curva melódica","ninguno","ninguno","ninguno","campo tonal alto","grupo entonativo","recriminación;mandato","desconocido","A:  ¡Y NO TE COMAS LA LECHUGA!//","A: =cuando mamá diga una cosa↑// me repliques↓ y me digas que no y que sí y que sí y que no↓// para que veas que- ¡Y NO TE COMAS LA LECHUGA!//",51,159
