"","Conversacion","Cortes_Descortes","Llama_Atencion","Mediodeexpresion","F0_Inicial","F0_Final","F0_Media","F0_Maxima","F0_Minima","Intensidad_Maxima","Intensidad_Minima","Intensidad_Primera","Intensidad_Ultima","Intensidad_Media","Silabas","Duracion","Duracion_Pausa_Anterior","Duracion_Pausa_Posterior","Continuacion_Pausa","Curva_Melodica","Otro_Curva_Melodica","Inflexion_Local_Interna","Tonema","Unidad_Del_Discurso","Valormodal","Otro_Valor_Modal","Fenomeno_Tonal","Fenomeno_Duracion","Fenomeno_Pausas","Fenomeno_Velocidad","Fenomeno_Amplitud","Unidad_Fonica","Estrategia_Pragmatica","Efecto_Pragmatico_Asociado","Elemento_Analizado","Fragmento","cantidad","cantidad_Medio"
"33","VALESCO 129B","cortés","acento;duración;entonación","Atenuación",153.7,0,149.1,266,111.1,89,73,78,75,82,15,3.6,0.9,0.6,"continúa otro hablante","suspensión","desconocido","descendente_ascendente","suspendido","subacto;Intervención iniciativo-reactiva","aserción","desconocido","entonación suspendida","alargamiento","pausas largas","velocidad de habla lenta","ninguno","grupo entonativo","reproche;desacuerdo","desconocido","B: que esas pastillas Finitaa→/veo yo quee/eso es lo quee→","B: Si tu herman- tu heermana lee sube tanto el colesterol que se mire esas pastillas↑// que esas pastillas Finitaa↑/ veo yo quee/eso es lo quee→
A: [((..))]le comentaré yo a ver y probaré/// [((…))]yo→
B: esas pastillas me hacen a mí un bajón de colesterol",11,62
"34","VALESCO 80A","cortés","acento;duración","Atenuación",187,181,180,187,161,86,72,76,76,79,8,3.6,1.2,1.2,"continúa otro hablante","declinación","desconocido","ninguna","descendente","Intervención iniciativa;turno","aserción","desconocido","ninguno","ninguno","pausas largas","ninguno","campo tonal bajo","grupo entonativo","Petición información","desconocido","L: puess/// (2.5”) °(me lo ha dicho Gerardo)°","L: me han dicho que has dejado una casa
A: ¿que he dejao una casa?
L: mm ¿no?
A: ¿yo?
L: ¿((tenéis piso)) ya?
A: sí
L: ¡ah!// entonces nada
A: ¿por qué?// ¿quién te lo ha dicho?
L: puess/// (2.5”) °(me lo ha dicho Gerardo)°
A: ¿qué Gerardo?",1,62
"35","VALESCO 194A","descortés","acento;velocidad de habla","Intensificación",297,385,347,489,95,85,71,82,78,81,22,3.37,0,0,"continúa otro hablante","inclinación","desconocido","ascendente_descendente","ascendente","acto;Intervención reactiva;turno","aserción","Advertencia y crítica","ascenso brusco de la curva melódica","ninguno","sin pausas","velocidad de habla rápida","campo tonal alto","cláusula entonativa","Ofrecer información","Ninguno","M: = TE LO CONTARÁ A SU MANERA / ELLA NO SABES ↑ [QUE TRANSGIVERSA LA VERDAD]","P: ¿cuéntamelo? dime A ((tú))
M: [no porque=]
P: [nada]
M: = TE LO CONTARÁ A SU MANERA / ELLA NO SABES ↑ [QUE TRANSGIVERSA LA VERDAD]
A: [no/ déjame]§",3,159
"36","VALESCO 37B","cortés","acento","Intensificación",213,240,299,363,199,90,79,86,89,88,25,3.3,0,0,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","descendente","acto","aserción","Afirmación enfática (prominencia acentual)","entonación circunfleja","ninguno","sin pausas","ninguno","campo tonal alto","cláusula entonativa","opinión","Ninguno","A: ((ee son– )) días↓porque yo","D: ¡aleluya!/ ¡aleluya! (( )) que te había salido ayer todo mal
A: ((ee son– )) días↓porque yo↑ cuando me lo dijo mira↓ nos MIRÁBAMOS↑y no saBÍAMOS qué decir",23,159
"37","VALESCO 130A","descortés","acento;duración;entonación","Intensificación;Fórmulas indirectas",276.7,300,259.3,302,113.2,87,85,85,85,82,17,3.2,1.7,1.5,"continúa otro hablante","inclinación","desconocido","descendente","descendente","acto","pregunta","desconocido","ascenso brusco de la curva melódica","alargamiento","pausas cortas","velocidad de habla lenta","ninguno","grupo entonativo","desacuerdo","desconocido","L: ¿qué quieres que me compliquee la bolaa de mala manera?↑","M: no está tan mal no / quee↓ /// el que algo quiere algo le cuesta // Laura // lo que pasa que tú↑­ /// yo no sé quee pensamientos tienes /// no quieres estar na mas que por ahí­↑ que te apunte al gimnasio /// y que te apunte a esto peroo nada dee /// de estudio /// na más que a tu rollo y a tus cosas
L: ¿qué quieres que me compliquee laa bola de mala manera?↑
M: º (la bola) º así es como habláis los jóvenes la bola // y la olla /// tú sabrás lo que quieres",11,5
"38","VALESCO 37B","cortés","entonación","Atenuación",223,185,201,260,157,89,82,88,85,87,9,3.1,0,0,"continúa otro hablante","declinación","desconocido","ascendente_descendente","descendente","acto","aserción","desconocido","entonación circunfleja","ninguno","sin pausas","ninguno","ninguno","cláusula entonativa","acuerdo","Ninguno","A: y el hombre se puso a reír/ dice no","C: pero son [muy pequeñiNES]
B: [no↓es muy bonito]§
A: §dice§
C: § y todos se meten [con ella (( ))]
A: [dice este reloj↑] no lo llevará usted para fregar↓ni na↓digo ¡qué va↓! esto es pa cuando me visto bien↓ y el hombre se puso a reír/ dice no↓es que este reloj es pa vestir",156,62
"39","VALESCO 025A","descortés","entonación","desconocido",NA,NA,224,402,147,73,46,NA,NA,64,17,3.08,0,0,"desconocido","inclinación","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","grupo entonativo","desconocido","desconocido","hasta todo lo que se le puede decir a una persona","A: [normal]
C: = ¡OST–Á! pues sí que he ganao yo cinco mil pesetas fácil§
B: § en un momento
(RISAS)§
C: §¡me cagüen la mar! llamo al número de teléfono
se me pone una señora¬ me dijo desde SINVERGÜENZA
hasta [todo lo que se le PUEDE DECIR A UNA PERSONA↑]
A: [claro↓ porque aquel tío estaría diciéndolo→]
B: se les ve que [a lo mejor harían algo→]",156,27
"40","VALESCO 37B","cortés","entonación","Intensificación",266,228,262,342,185,90,78,89,87,88,13,3,1,0,"continúa el mismo hablante","suspensión","desconocido","ascendente","suspendido","acto","pregunta","Pregunta expresada a través de una construcción suspendida","entonación suspendida","ninguno","ninguno","ninguno","ninguno","cláusula entonativa","petición","Ninguno","OIGA ↓ si es bueno ↑/ y vale la pena arreglarlo ↑","y digo es que mire ↓ me s’ha caído la saeta ↑// digoo y no parece que se OIGa// y mi marido en se(gu)ida dice// OIGA/ si es bueno ↑// y vale la pena arreglarlo↑",156,159
"41","VALESCO 129B","descortés","acento;entonación","Intensificación",185,180.3,178.5,224.3,78,90,71,88,72,84,14,3,0,1,"continúa otro hablante","inclinación","desconocido","descendente_ascendente","ascendente","acto;Intervención reactiva","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","pausas cortas","velocidad de habla lenta","campo tonal alto","grupo entonativo","reproche;desacuerdo","desconocido","B: eeh HAY quee/ no repartir↓/ RESPONSABILIZAR","C: pero es que yo creo que→ ahí se tendrían que repartir [la faena]
B:[eeh HAY quee]/ no repartir↓/ RESPONSABILIZAR
C: ¡qué susto m(e) has dao!",51,159
"42","VALESCO 84A","cortés","entonación","Atenuación",206,170,250,322,151,90,73,88,89,90,24,3,0,0,"desconocido","Otro (especificar bajo)","declinación con énfasis internos","ascendente_descendente","circunflejo","turno","exclamación","desconocido","entonación circunfleja","ninguno","ninguno","ninguno","ninguno","cláusula entonativa","reproche","desconocido","Pero bueno entonces eres un egoista; José Manuel; cariño; es que joder.",NA,156,62
